2015-10-15 15:55:08, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 15:55:08, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-15 15:55:08, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=666213546305&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015155508&txnType=01&version=5.0.0 
2015-10-15 15:55:08, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >e8321148ed318260421b742be2f8f05ac2c1dff0 
2015-10-15 15:55:08, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >cfHtqjumn+0U8qS5o4kuTP/x2CBkX6y9B9vmMKaXlYp/CpeFR5dXkEB0H9gFO+w3LiF/lRbWN4mC4vO2eaHIkyLdXtrY/cvU4RmfhglLpHooMCKBLFc1zHDu2xNyZd9chpqAcjGMkdvOuB+lcKNCSi3LfqzXRt1AaAvbfWmOmr4= 
2015-10-15 15:55:08, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-15 15:56:28, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 15:56:28, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-15 15:56:28, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=454425633897&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015155628&txnType=01&version=5.0.0 
2015-10-15 15:56:28, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >dfb87771d7e7e55f8fbdff99c704c35429318460 
2015-10-15 15:56:28, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >d72blsZWGiAHoDQIMuIG9fgtzxnGKBwOLm7dF6XLtkMkhrfTaen/Kwob47lDViBGukT0oXql2/MNw381XrbQVVE5DoaBjZI17ACR88sELrFWNnNTWDgWZRDfkjXKwYV30cJbMncd4fNEcFY+GOX3ICg/4LGHlJz25NmhhHhrggY= 
2015-10-15 15:56:28, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-15 15:56:44, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 15:56:44, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-15 15:56:44, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=326461940167&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015155644&txnType=01&version=5.0.0 
2015-10-15 15:56:44, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >0641daf2f5301a317fce890449d92c71f4d466ba 
2015-10-15 15:56:44, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >SsnHc0MfQHcr15a3vVeU7KnFqpJ2omsSwNNcB+9b4Mhx53id/UG+FLqxK2kV/bNmCHdTNFOfo+QZYD3iaWxQacUpD/no7VKcrN2Ai0OWwbzCQCJMO/oEwqyULLc2/qpziq1YAfabCnxykroAGReE73VhAxLcp5QPys01tZlJvhA= 
2015-10-15 15:56:44, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-15 15:56:53, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 15:56:53, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
